recipe_title;url;rating;cuisine;course;diet;prep_time;cook_time;ingredients;;;;;;;;;;;;;
Asian Style Tofu in Spicy Orange Sauce Recipe;https://www.archanaskitchen.com/asian-style-tofu-in-spicy-orange-sauce-recipe;4.93;Asian;Dinner;High Protein Vegetarian;10 M;30 M;Tofu|Orange Zest (Rind)|Corn flour|Whole Black Peppercorns|Rice Vinegar|Brown Sugar (Demerara Sugar)|Fresh orange juice|Ginger|Sesame (Gingelly) Oil|Sesame seeds (Til seeds)|Salt;;;;;;;;;;;;;
Homemade Kashmiri Garam Masala Recipe;https://www.archanaskitchen.com/how-to-make-homemade-kashmiri-masala-spice-mix-recipe;4.93;Kashmiri;Side Dish;Vegetarian;5 M;5 M;Cumin seeds (Jeera)|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Cinnamon Stick (Dalchini)|Coriander (Dhania) Seeds|Whole Black Peppercorns|Fennel seeds (Saunf)|Bay leaves (tej patta)|Mace (Javitri)|Nutmeg powder;;;;;;;;;;;;;
Hesarukalu Bele Kosambari Recipe | Tangy Sprouted Green Moong Dal Salad;https://www.archanaskitchen.com/hesarukalu-bele-kosumbari-recipe-sprouted-green-moong-salad;4.74;South Indian Recipes;Side Dish;Diabetic Friendly;10 M;5 M;Green Moong Dal (Whole)|Carrot (Gajjar)|Fresh coconut|Cucumber|Tomato|Green Chillies|Lemon|Coriander (Dhania) Leaves|Salt|Mustard seeds (Rai/ Kadugu)|White Urad Dal (Split)|Curry leaves|Coconut Oil;;;;;;;;;;;;;
Bendakaya Pulusu Recipe - Andhra Style Tangy Ladies Finger Curry;https://www.archanaskitchen.com/bendakaya-pulusu-andhra-style-okra-in-tamarind-gravy;4.94;Andhra;Lunch;Vegetarian;10 M;20 M;Bhindi (Lady Finger/Okra)|Pearl onions (Sambar Onions)|Tomatoes|Tamarind|Curry leaves|Mustard seeds (Rai/ Kadugu)|Cumin seeds (Jeera)|Methi Seeds (Fenugreek Seeds)|Turmeric powder (Haldi)|Red Chilli powder|Jaggery|Gingelly oil|Salt;;;;;;;;;;;;;
Peerkangai Thogayal Recipe | Ridge Gourd Peel Chutney | Beerakaya Pachadi;https://www.archanaskitchen.com/peerkangai-thogayal-recipe-ridge-gourd-peel-chutney;4.87;South Indian Recipes;Side Dish;Vegetarian;15 M;10 M;Ridge Gourd Skin (Turai/ Peerkangai)|White Urad Dal (Split)|Methi Seeds (Fenugreek Seeds)|Dry Red Chillies|Curry leaves|Tamarind|Salt|Gingelly oil|Mustard seeds (Rai/ Kadugu)|White Urad Dal (Split)|Dry Red Chillies|Curry leaves;;;;;;;;;;;;;
Goan Style Mushroom Vindaloo Recipe;https://www.archanaskitchen.com/goan-style-mushroom-vindaloo-recipe;4.84;Goan Recipes;Dinner;Vegetarian;20 M;30 M;Button mushrooms|Onion|Garlic|Ginger|Turmeric powder (Haldi)|Oil|Salt|Dry Red Chillies|Coriander (Dhania) Seeds|Cumin seeds (Jeera)|Whole Black Peppercorns|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung);;;;;;;;;;;;;
Dhaba Style Dal Fry Recipe | Mixed Dal Tadka;https://www.archanaskitchen.com/dhaba-style-dal-fry-recipe;4.80;North Indian Recipes;Lunch;Vegetarian;120 M;40 M;Arhar dal (Split Toor Dal)|Chana dal (Bengal Gram Dal)|Masoor Dal (Whole)|White Urad Dal (Split)|Kashmiri Rajma|Kala Chana (Brown Chickpeas)|Cumin (Jeera) seeds|Onion|Ginger|Green Chillies|Cinnamon stick|Cardamom (Elaichi) Pods/Seeds|Bay leaves (tej patta)|Tomatoes|Turmeric powder (Haldi)|Red Chilli powder|Salt|Lemon|Coriander (Dhania) Leaves;;;;;;;;;;;;;
Goan Mushroom Xacuti Recipe;https://www.archanaskitchen.com/goan-mushroom-xacuti-recipe;4.88;Goan Recipes;Lunch;Vegetarian;10 M;20 M;Oil|Button mushrooms|Turmeric powder (Haldi)|Salt|Onions|Ginger|Garlic|Coriander (Dhania) Leaves|Dry Red Chillies|Poppy seeds|Cloves (Laung)|Cinnamon Stick (Dalchini)|Whole Black Pepper Corns|Cumin seeds (Jeera)|Coriander (Dhania) Seeds|Methi Seeds (Fenugreek Seeds)|Tamarind;;;;;;;;;;;;;
Eggless Whole Wheat Plum Cake Recipe | Christmas Plum Cake;https://www.archanaskitchen.com/kerala-style-christmas-plum-cake-recipe;4.87;Continental;Dessert;Eggetarian;120 M;40 M;Black Raisins|Prunes|Apricots|Dates|Dried Figs|Cranberries|Rum|Fresh orange juice|Fresh orange juice|Whole Wheat Flour|Baking powder|Baking soda|Oil|Brown Sugar (Demerara Sugar)|Cinnamon Powder (Dalchini)|Dry ginger powder|Vanilla Extract|Slivered Almonds (Badam)|Walnuts;;;;;;;;;;;;;
Pita Topped With Oven Roasted Cauliflower, Basil Avocado Sauce Recipe;https://www.archanaskitchen.com/pita-topped-with-oven-roasted-cauliflower-basil-avocado-sauce-recipe;4.88;Fusion;Lunch;Vegetarian;10 M;45 M;Mini Pita Breads|Cauliflower (gobi)|Cumin seeds (Jeera)|Coriander (Dhania) Seeds|Fennel seeds (Saunf)|Badam (Almond)|Sunflower Oil|Salt|Avocado|Basil leaves|Garlic|Lemon juice|Milk|Salt|Green Chillies;;;;;;;;;;;;;
Crunchy Creamy Coleslaw Recipe;https://www.archanaskitchen.com/crunchy-creamy-coleslaw-recipe;4.83;Continental;Side Dish;Vegetarian;5 M;15 M;Cabbage (Patta Gobi/ Muttaikose)|Carrots (Gajjar)|Green Bell Pepper (Capsicum)|Red onion|Green Chilli|Vinegar|Classic Mayonnaise (With Egg)|Black pepper powder;;;;;;;;;;;;;
Chamadumpa Vepudu Recipe - Andhra Style Colocasia Stir Fry | Arbi Sabzi;https://www.archanaskitchen.com/andhra-style-chamadumpa-vepudu-recipe-colocassia-stir-fry-recipe;4.89;Andhra;Lunch;Vegetarian;10 M;25 M;Colocasia root (Arbi)|Red Chilli powder|Turmeric powder (Haldi)|Amchur (Dry Mango Powder)|Coriander (Dhania) Powder|Asafoetida (hing)|Salt|Gingelly oil|Mustard seeds (Rai/ Kadugu)|White Urad Dal (Split)|Dry Red Chilli|Curry leaves;;;;;;;;;;;;;
Mangalore Cucumber Chana Dal Subzi Recipe ;https://www.archanaskitchen.com/mangalore-cucumber-chana-dal-subzi-recipe;4.93;Mangalorean;Lunch;Vegetarian;10 M;30 M;Mangalorean cucumber|Chana dal (Bengal Gram Dal)|Cumin seeds (Jeera)|Bay leaf (tej patta)|Ginger|Tomato|Coriander Powder (Dhania)|Turmeric powder (Haldi)|Red Chilli powder|Sugar|Coriander (Dhania) Leaves|Oil|Cumin seeds (Jeera)|Dry Red Chillies|Salt;;;;;;;;;;;;;
Aloo Parwal Sabzi Recipe - A Classic Bengali Dish;https://www.archanaskitchen.com/aloo-parval-ki-sabzi;4.87;Indian;Lunch;Vegetarian;10 M;20 M;Pointed gourd (Parval)|Potatoes (Aloo)|Turmeric powder (Haldi)|Red Chilli powder|Coriander Powder (Dhania)|Amchur (Dry Mango Powder)|Mustard seeds (Rai/ Kadugu)|Cumin seeds (Jeera)|Salt|Mustard oil;;;;;;;;;;;;;
Chapor Ghonto Recipe - Bengali Mix Vegetable With Lentils Patties;https://www.archanaskitchen.com/chapor-ghonto-recipe-bengali-mix-vegetable-with-lentils-patties;4.91;Bengali Recipes;Lunch;Vegetarian;30 M;30 M;Mustard oil|Mustard seeds (Rai/ Kadugu)|Bay leaves (tej patta)|Green Chillies|Potato (Aloo)|Kaddu (Parangikai/ Pumpkin)|Small Brinjal (Baingan / Eggplant)|Carrot (Gajjar)|Turmeric powder (Haldi)|Salt|Sugar|Fresh coconut|Yellow Moong Dal (Split)|Chana dal (Bengal Gram Dal)|Ginger|Dry Red Chillies|Turmeric powder (Haldi)|Mustard oil;;;;;;;;;;;;;
Delicious Skillet Roasted Fondant Potatoes Recipe;https://www.archanaskitchen.com/fondant-potatoes-recipe;4.89;French;Appetizer;Vegetarian;0 M;30 M;Potatoes (Aloo)|Garlic|Fresh Thyme leaves|Salt;;;;;;;;;;;;;
Moroccan Chickpeas Stew Recipe ;https://www.archanaskitchen.com/moroccan-chickpeas-stew-recipe;4.71;African;Dinner;High Protein Vegetarian;10 M;45 M;Kabuli Chana (White Chickpeas)|Extra Virgin Olive Oil|Cinnamon Stick (Dalchini)|Garlic|Onions|Salt|Whole Black Pepper Corns|Turmeric powder (Haldi)|Paprika powder|Cumin powder (Jeera)|Tomato|Apricots|Lemon juice|Mint Leaves (Pudina)|Coriander (Dhania) Leaves|Whole Almonds (Badam);;;;;;;;;;;;;
Babru Recipe (Himachali Black Gram Stuffed Bread);https://www.archanaskitchen.com/babru-recipe-himachali-black-gram-stuffed-bread;4.82;Himachal;Snack;Vegetarian;10 M;20 M;Whole Wheat Flour|Black Urad Dal (Whole)|Water|Oil|Salt;;;;;;;;;;;;;
Urulai Kizhangu Masiyal Recipe (Potatoes in a Tangy lemon and Ginger Gravy);https://www.archanaskitchen.com/urulai-kizhangu-masiyal-potatoes-in-a-tangy-lemon-and-ginger-gravy;4.85;Tamil Nadu;Side Dish;Vegan;20 M;40 M;Potatoes (Aloo)|Green Chillies|Ginger|Curry leaves|Mustard seeds (Rai/ Kadugu)|White Urad Dal (Split)|Turmeric powder (Haldi)|Oil|Coriander (Dhania) Leaves;;;;;;;;;;;;;
Niramish Shobji Chapor Jhol - Bengali Style Vegetable Curry with Lentil Patties;https://www.archanaskitchen.com/niramish-shobji-chapor-jhol-bengali-style-vegetable-curry-with-lentil-patties;4.87;Bengali Recipes;Lunch;High Protein Vegetarian;30 M;30 M;Mustard oil|Mustard seeds (Rai/ Kadugu)|Bay leaves (tej patta)|Green Chillies|Potato (Aloo)|Brinjal (Baingan / Eggplant)|Carrot (Gajjar)|Turmeric powder (Haldi)|Salt|Sugar|Yellow Moong Dal (Split)|Chana dal (Bengal Gram Dal)|Dry Red Chillies|Turmeric powder (Haldi)|Mustard oil;;;;;;;;;;;;;
Arabian Chicken Mandi Recipe -Yemeni Style Rice & Chicken;https://www.archanaskitchen.com/arabian-chicken-mandi-recipe-yemeni-style-rice-chicken;4.85;Middle Eastern;Lunch;Non Vegeterian;30 M;90 M;Chicken|Onion|Tomato|Green Chillies|Bay leaves (tej patta)|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Cinnamon Stick (Dalchini)|Whole Black Peppercorns|Extra Virgin Olive Oil|Salt|Basmati rice|Water|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Whole Black Peppercorns|Nutmeg powder|Dry ginger powder|Bay leaves (tej patta);;;;;;;;;;;;;
Moong Dal Ghughra Recipe (Gujiya/ Karanji);https://www.archanaskitchen.com/moong-dal-ghughra-recipe-gujiya-karanji;4.89;North Indian Recipes;Snack;Vegetarian;60 M;30 M;Vivatta Maida|Salt|Water|Oil|Green Moong Dal (Whole)|Cumin seeds (Jeera)|Fennel seeds (Saunf)|Sesame seeds (Til seeds)|Sugar|Asafoetida (hing)|Amchur (Dry Mango Powder)|Turmeric powder (Haldi)|Red Chilli powder|Green Chillies|Ginger|Salt;;;;;;;;;;;;;
Hyderabadi Khadi Masoor Dal Recipe - Hyderabadi Style Lentil Curry;https://www.archanaskitchen.com/hyderabadi-khadi-masoor-ki-dal-hyderabadi-style-lentil-curry;4.92;Hyderabadi;Lunch;High Protein Vegetarian;10 M;20 M;Pink Masoor Dal (Split)|Garlic|Ginger|Green Chillies|Onion|Tomato|Turmeric powder (Haldi)|Red Chilli powder|Salt to taste|Coriander (Dhania) Leaves;;;;;;;;;;;;;
Vanilla Dutch Baby Pancake Recipe;https://www.archanaskitchen.com/vanilla-dutch-baby-pancake-recipe;4.95;Continental;World Breakfast;Vegetarian;10 M;20 M;All Purpose Flour (Maida)|Milk|Vanilla Extract|Whole Eggs|Caster Sugar|Salt|Butter (unsalted);;;;;;;;;;;;;
Goan Moolyacho Ross Recipe (Goan Radish Curry);https://www.archanaskitchen.com/goan-moolyacho-ross-recipe-goan-radish-curry;4.90;Goan Recipes;Lunch;Vegetarian;20 M;30 M;Mooli/ Mullangi (Radish)|Arhar dal (Split Toor Dal)|Onion|Fresh coconut|Green Chilli|Dry Red Chillies|Coriander (Dhania) Seeds|Tamarind|Jaggery|Salt;;;;;;;;;;;;;
Gujarati Dabeli Recipe - Pav Buns With Spicy Mashed Potatoes;https://www.archanaskitchen.com/dabeli-buns-sandwiched-with-spicy-mashed-potatoes-pomegranates-and-sev;4.88;Gujarati Recipesпїњ;Snack;Vegetarian;30 M;10 M;Pav buns|Butter (Salted)|Onion|Sev|Fresh Pomegranate Fruit Kernels|Coriander (Dhania) Leaves|Potatoes (Aloo)|Fennel seeds (Saunf)|Coriander (Dhania) Seeds|Cumin seeds (Jeera)|Sesame seeds (Til seeds)|Dry Red Chillies|Whole Black Pepper Corns|Cinnamon Stick (Dalchini)|Brown cardamom (Badi Elaichi)|Star anise|Dessicated Coconut|Kashmiri Red Chilli Powder|Sugar|Amchur (Dry Mango Powder)|Salt;;;;;;;;;;;;;
Mixed Vegetable Handi Recipe;https://www.archanaskitchen.com/mixed-vegetable-handi-recipe;4.78;North Indian Recipes;Lunch;Vegetarian;20 M;25 M;Sunflower Oil|Cumin seeds (Jeera)|Bay leaves (tej patta)|Onion|Ginger|Garlic|Green Chilli|Tomatoes|Cashew nuts|Kashmiri Red Chilli Powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Salt|Carrots (Gajjar)|Sweet corn|Green peas (Matar)|Green beans (French Beans)|Green Bell Pepper (Capsicum)|Cauliflower (gobi)|Button mushrooms|Water|Fresh cream|Kasuri Methi (Dried Fenugreek Leaves)|Coriander (Dhania) Leaves|Mint Leaves (Pudina)|Lemon;;;;;;;;;;;;;
Stuffed Mushrooms With Spinach & Parmesan Recipe;https://www.archanaskitchen.com/stuffed-mushrooms-with-spinach-parmesan-recipe;4.97;Continental;Appetizer;Vegetarian;15 M;40 M;Button mushrooms|Spinach|Onion|Garlic|Extra Virgin Olive Oil|Whole Wheat Bread crumbs|Dried oregano|Red Bell pepper (Capsicum)|Parmesan cheese|Mozzarella cheese|Salt;;;;;;;;;;;;;
Chenai Kizhangu Masiyal-South Indian Style Yam Masiyal;https://www.archanaskitchen.com/senai-masiyal-recipe-south-indian-style-yam-mash;4.93;Tamil Nadu;Main Course;Vegetarian;5 M;20 M;Elephant yam (Suran/Senai/Ratalu)|Turmeric powder (Haldi)|Salt|Raw Peanuts (Moongphali)|Sesame (Gingelly) Oil|Mustard seeds|White Urad Dal (Split)|Curry leaves|Green Chillies|Salt|Turmeric powder (Haldi)|Red Chilli powder;;;;;;;;;;;;;
Aam Panna Pani Puri Recipe ;https://www.archanaskitchen.com/aam-panna-pani-puri-recipe;4.90;North Indian Recipes;Appetizer;Vegetarian;15 M;20 M;Pani Puris|Potato (Aloo)|Salt|Cumin powder (Jeera)|Chaat Masala Powder|Red Chilli powder|Mango (Raw)|Mint Leaves (Pudina)|Cumin powder (Jeera)|Black Salt (Kala Namak)|Black pepper powder|Sugar;;;;;;;;;;;;;
Punjabi Bhindi Kadhi Recipe - Roasted Okra In Yogurt Curry;https://www.archanaskitchen.com/punjabi-bhindi-kadhi-recipe-roasted-okra-in-yogurt-curry;4.88;Punjabi;Dinner;Vegetarian;15 M;30 M;Bhindi (Lady Finger/Okra)|Oil|Gram flour (besan)|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Red Chilli powder|Salt|Cumin seeds (Jeera)|Dry Red Chillies|Cinnamon Stick (Dalchini);;;;;;;;;;;;;
Tamil Nadu Style Potato Masiyal Recipe (South Indian Style Aloo Masala);https://www.archanaskitchen.com/tamil-nadu-style-potato-masal-south-indian-style-aloo-masala-recipe;4.89;Tamil Nadu;Lunch;Vegetarian;30 M;40 M;Potatoes (Aloo)|Onion|Green Chillies|Ginger|Garlic|Cashew nuts|Gram flour (besan)|Turmeric powder (Haldi)|Salt|Coriander (Dhania) Leaves|Sesame (Gingelly) Oil|Mustard seeds (Rai/ Kadugu)|Chana dal (Bengal Gram Dal)|Curry leaves;;;;;;;;;;;;;
Goan Bimbla Uddamethi Recipe;https://www.archanaskitchen.com/goan-bimbla-uddamethi-recipe;4.94;Konkan;Lunch;Vegetarian;10 M;10 M;Bimbla (Bilimbi)|Fresh coconut|Red Chilli powder|Turmeric powder (Haldi)|Jaggery|Oil|Methi Seeds (Fenugreek Seeds)|White Urad Dal (Split)|Mustard seeds (Rai/ Kadugu)|Curry leaves|Asafoetida (hing)|Salt;;;;;;;;;;;;;
Papaya Parsley Salad with Cheese Recipe;https://www.archanaskitchen.com/papaya-parsley-salad-with-cheese;4.93;European;Appetizer;Vegetarian;20 M;0 M;Papaya|Onion|Parsley leaves|Lemon|Feta Cheese|Roasted Peanuts (Moongphali)|Salt and Pepper;;;;;;;;;;;;;
Mangalorean Manoli Bheeja Upkari Recipe - Ivy Gourd & Cashew Sabzi;https://www.archanaskitchen.com/mangalorean-manoli-bheeja-upkari-recipe-ivy-gourd-cashew-sabzi;4.93;Mangalorean;Side Dish;Vegetarian;10 M;20 M;Tindora (Dondakaya/ Kovakkai)|Cashew nuts|Fresh coconut|Sugar|Salt|Coconut Oil|White Urad Dal (Split)|Mustard seeds|Dry Red Chillies|Turmeric powder (Haldi)|Curry leaves;;;;;;;;;;;;;
Chilli Chicken Cheese Quesadilla Recipe ;https://www.archanaskitchen.com/chilli-chicken-cheese-quesadilla-recipe;4.95;Mexican;Appetizer;Non Vegeterian;20 M;20 M;Tortillas|Mozzarella cheese|Chicken breasts|Green Bell Pepper (Capsicum)|Spring Onion (Bulb & Greens)|Garlic|Ginger|Green Chillies|Corn flour|Tomato Ketchup|Sunflower Oil|Salt;;;;;;;;;;;;;
Malwani Pumpkin And Raw Mango Curry Recipe;https://www.archanaskitchen.com/malwani-pumpkin-and-raw-mango-curry-recipe;4.89;Malvani;Dinner;Vegetarian;10 M;30 M;Mango (Raw)|Kaddu (Parangikai/ Pumpkin)|Green Chillies|Ginger|Dry Red Chillies|Cumin seeds (Jeera)|Fennel seeds (Saunf)|Methi Seeds (Fenugreek Seeds)|Whole Black Peppercorns|Coriander (Dhania) Seeds|Fresh coconut|Oil;;;;;;;;;;;;;
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread;https://www.archanaskitchen.com/maharashtrian-kakdi-thalipeeth-recipe-spiced-cucumber-flat-bread;4.90;Maharashtrian Recipes;Indian Breakfast;Diabetic Friendly;30 M;30 M;Gram flour (besan)|Whole Wheat Flour|Rice flour|Cucumber|Turmeric powder (Haldi)|Cumin powder (Jeera)|Coriander Powder (Dhania)|Red Chilli powder|Green Chillies|Coriander (Dhania) Leaves|Garlic|Salt;;;;;;;;;;;;;
Eggless Chocolate Mug Cake Recipe - Instant Microwave Cake;https://www.archanaskitchen.com/microwave-mug-cake-recipe;4.89;Continental;Dessert;Vegetarian;10 M;1 M;Butter (Unsalted)|Cocoa Powder|Sugar|All Purpose Flour (Maida)|Salt|Milk|Chocolate chips|Vanilla Extract;;;;;;;;;;;;;
Vegan Kofta Curry Recipe;https://www.archanaskitchen.com/vegan-kofta-curry-recipe;4.84;North Indian Recipes;Dinner;Vegan;30 M;45 M;Carrot (Gajjar)|Bottle gourd (lauki)|Potatoes (Aloo)|Green peas (Matar)|Green capsicum|Gram flour (besan)|Green Chilli|Cumin powder (Jeera)|Salt|Amchur (Dry Mango Powder)|Cashew nuts|Cumin (Jeera) seeds|Sunflower Oil|Ginger|Garlic|Onions|Cinnamon Stick (Dalchini)|Cardamom (Elaichi) Pods/Seeds|Jaggery|Cloves (Laung)|Tomatoes|Turmeric powder (Haldi)|Red Chilli powder|Kasuri Methi (Dried Fenugreek Leaves)|Salt;;;;;;;;;;;;;
Muttai Podimas Recipe - Chettinad Egg Scramble ;https://www.archanaskitchen.com/muttai-podimas-recipe-chettinad-egg-scramble;4.85;South Indian Recipes;Lunch;Eggetarian;10 M;15 M;Whole Eggs|Coconut Oil|Cumin seeds (Jeera)|Curry leaves|Green Chilli|Pearl onions (Sambar Onions)|Salt|Turmeric powder (Haldi)|Black pepper powder|Coriander (Dhania) Leaves;;;;;;;;;;;;;
Chilli Oil Recipe;https://www.archanaskitchen.com/chilli-oil-recipe;5.00;Asian;Side Dish;Vegetarian;10 M;15 M;Red Chilli flakes|Brown Sugar (Demerara Sugar)|Ginger|Sesame seeds (Til seeds)|Star anise|Garlic|Cooking oil;;;;;;;;;;;;;
Bathua Raita Recipe ;https://www.archanaskitchen.com/bathua-raita-recipe;5.00;North Indian Recipes;Side Dish;Diabetic Friendly;10 M;5 M;Bathua leaves|Green Chillies|Ginger|Black Salt (Kala Namak)|Cumin powder (Jeera)|Black pepper powder|Cooking oil;;;;;;;;;;;;;
Szechwan Hakka Noodle Momo Recipe ;https://www.archanaskitchen.com/szechwan-hakka-noodle-momo-recipe;4.92;Indo Chinese;Appetizer;Vegetarian;25 M;30 M;Carrot (Gajjar)|Green Bell Pepper (Capsicum)|Onion|Hakka Noodles|Spring Onion (Bulb & Greens)|Black pepper powder|Salt|All Purpose Flour (Maida)|Water;;;;;;;;;;;;;
Khakhra Vegetable Pizza Recipe;https://www.archanaskitchen.com/khakara-vegetable-pizza-recipe;4.90;Indian;Snack;Vegetarian;20 M;10 M;Extra Virgin Olive Oil|Red Yellow and Green Bell Peppers (Capsicum)|Black olives|Sweet corn|Salt to taste|Pickled Jalapenos|Mixed Herbs (Dried)|Red Chilli flakes|Mozzarella cheese;;;;;;;;;;;;;
Chicken Manchurian Dry Recipe ;https://www.archanaskitchen.com/chicken-manchurian-dry-recipe;4.89;Chinese;Appetizer;High Protein Non Vegetarian;10 M;40 M;Chicken breasts|Whole Egg|Corn flour|Salt|Tomato Ketchup|Vinegar|Sesame (Gingelly) Oil|Ginger|Garlic|Green Chillies|Onion|Spring Onion Greens;;;;;;;;;;;;;
Thai Pineapple Vegetarian Curry Recipe;https://www.archanaskitchen.com/thai-pineapple-vegetarian-curry-recipe;4.89;Thai;Side Dish;Vegetarian;20 M;40 M;Garlic|Ginger|Spring Onion (Bulb & Greens)|Lemon Grass|Green Chillies|Coriander (Dhania) Seeds|Water|Cauliflower (gobi)|Red Bell pepper (Capsicum)|Green beans (French Beans)|Pineapple|Coconut milk|Brown Sugar (Demerara Sugar)|Salt|Basil leaves|Oil;;;;;;;;;;;;;
 Beet Apple Salad Recipe with Apple Cider Vinaigrette;https://www.archanaskitchen.com/beet-apple-salad-recipe-with-apple-cider-vinaigrette;4.93;Continental;Appetizer;Vegetarian;5 M;20 M;Apples|Beetroots|Salad leaves|Black olives|Walnuts|Extra Virgin Olive Oil|Apple cider vinegar|Honey|Salt;;;;;;;;;;;;;
Kerala Style Varutharacha Mutta Curry Recipe;https://www.archanaskitchen.com/varutharacha-mutta-curry-recipe;4.84;Kerala Recipes;Main Course;Eggetarian;10 M;30 M;Fennel seeds (Saunf)|Coriander (Dhania) Seeds|Whole Black Pepper Corns|Byadagi Dried Chillies|Cloves (Laung)|Cinnamon stick|Cardamom (Elaichi) Pods/Seeds|Fresh coconut|Whole Eggs|Coconut Oil|Pearl onions (Sambar Onions)|Curry leaves|Ginger|Garlic|Green Chillies|Tomatoes|Tomatoes;;;;;;;;;;;;;
Chicken Spinach Cheese Balls Recipe;https://www.archanaskitchen.com/chicken-spinach-cheese-balls-recipe;4.92;Italian Recipes;Appetizer;High Protein Non Vegetarian;10 M;20 M;Spinach|Britannia Cheese Cubes|Chicken keema|Salt|Garlic powder|Mixed Herbs (Dried)|Red Chilli flakes|Extra Virgin Olive Oil|Black pepper powder|Oil|Whole Eggs|Whole Wheat Bread crumbs|Mixed Herbs (Dried);;;;;;;;;;;;;